art,t,bpm,g,ln,s
Mrs. GREEN APPLE,Ao to Natsu,185,5,3,813452
DJ Fresh,Gold Dust (Cut Ver.),177,10,2,1550980
Zekk,Freefall,180,10,5,1385279
U1 High-Speed,EGOISM 440,220,2,5,717720
System Of A Down,Aerials,80,4,2,136425
yanaginagi,over and over (TV Size),183,3,3,698454
Dormir,Sayonara Trip,133,2,3,1085450
Renard,TU4AR,240,10,2,82802
Fujii Shiho,Excitebike Arena,200,2,5,774406
Lon,Mischievous Function,150,10,3,27441
FELT,In my room,165,10,5,399061
ChouCho,Yasashisa no Riyuu (TV Size),177,3,3,49387
Halozy,Snow Changes to a Beat Again,131,10,5,387335
Jin ft. MARiA from GARNiDELiA,daze (TV Size),198,3,3,172159
DJ Totoriott,Chronoxia,180,2,5,429184
Nogizaka46,Yubi Bouenkyou ~Anime-ban~,180,3,3,623924
Rameses B,Mountains (Ft. Veela),175,10,2,303129
ClariS,Irony (TV Size),134,3,3,21424
Yousei Teikoku,Zetsubou plantation,230,4,3,86009
EDOGA-SULLIVAN,WONDERFUL WONDER (TV Size),160,5,3,1280506
DJVI,Can't Let Go,170,2,5,335813
DZIDZIO,Yalta,128,7,14,485903
*namirin,Koi no Hime Hime Pettanko,178,3,3,485056
Feint,Snake Eyes (feat. CoMa),174,10,2,1034056
Masayoshi Minoshima feat. Ayakura Mei,Lionheart,132,2,3,1142369
Sporty-O,Let Me Hit It,128,10,5,486008
Tanaka Hirokazu,C-TYPE,149.3,2,5,757146
League of Legends,Hanami ON THE RIFT (PV ver.),160,2,5,695308
"JO*STARS ~TOMMY, Coda, JIN~",JoJo Sono Chi no Kioku~end of THE WORLD~,220,3,3,269969
Rostik,Liquid (Paul Rosenthal Remix),133,10,5,123593
Jennifer Karr,My Life As A Teenage Robot,171,3,2,648863
EARPHONES,Arakajime Ushinawareta Bokura no Ballad (Game Ver.),198,2,3,843086
flumpool,Chiisana Hibi (TV Size),123,3,3,1139396
Momokurotei Ichimon,Nippon Egao Hyakkei,159,3,3,59569
Kugimiya Rie. Horie Yui. Kitamura Eri,Orange,140,3,3,352714
TERRA,EDEN,200,2,3,810279
BoA,MASAYUME CHASING (Speed Up Ver.),150.89,3,3,214667
Eisyo-kobu,Oriental Blossom,180,2,5,727539
Kuroneko Dungeon,Lilieze to Enryuu Laevateinn,200,2,5,415827
Tia,Heart Realize (TV Size),178,3,3,143717
Kondo Koji,MAP4 (Native Star),126.91,2,5,1395792
